Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Congo, Rep.",20.52300072,20.48900032,20.41500092,20.34000015,20.31399918,20.28300095,20.20899963,20.18300056,20.08300018,20.05900002,20.01099968,19.96800041,19.88599968,19.83600044,19.79999924,18.82099915,17.81399918,16.87899971,16.10000038,14.5539999,13.06400013,10,10.00399971,9.998000145,10.02499962,10.42099953,10.94699955
Colombia,10.11999989,9.43999958,7.800000191,8.25,8.720000267,11.81000042,12.14000034,15,20.05999947,20.52000046,15.03999996,15.63000011,14.18999958,13.72000027,11.86999989,12.69999981,11.19999981,11.27000046,12.06999969,10.88000011,10.18999958,9.81000042,9.18999958,8.529999733,8.239999771,8.350000381,8.960000038
Comoros,4.755000114,4.750999928,4.744999886,4.731999874,4.717999935,4.705999851,4.690999985,4.676000118,4.657999992,4.642000198,4.625999928,4.607999802,4.590000153,4.570000172,4.535999775,4.526000023,4.506999969,4.485000134,4.460999966,4.43900013,4.420000076,4.399000168,4.377999783,4.361999989,4.34499979,4.347000122,4.34100008
Cabo Verde,11.83399963,11.77900028,11.73099995,11.67700005,11.63199997,11.58699989,11.56000042,11.54100037,11.52999973,11.51399994,11.47200012,11.42800045,11.38099957,11.31400013,11.23900032,11.13700008,11.02700043,10.90799999,10.78299999,10.67000008,10.57699966,10.50699997,10.42500019,10.34799957,10.27499962,10.32499981,10.33899975
Costa Rica,5.369999886,3.930000067,3.950000048,4.039999962,5.179999828,6.159999847,5.679999828,5.329999924,5.889999866,5.079999924,5.909999847,6.329999924,6.559999943,6.389999866,6.570000172,5.739999771,4.489999771,4.78000021,7.710000038,8.920000076,10.18000031,9.899999619,8.960000038,9.119999886,9.260000229,8.979999542,8.532999992
Caribbean small states,16.23462382,16.14459952,16.58542048,15.70801065,15.37062092,14.92914305,14.79502727,14.31049805,13.96202856,13.523484,12.64448482,12.60670835,11.62848151,10.79255774,10.46736807,9.077421405,8.611230712,8.999697232,10.21117093,10.91691191,10.80456994,11.4756156,11.79427589,11.15237417,10.93848249,10.86900738,10.60513326
Cuba,9.694000244,9.618000031,9.586999893,8.612999916,8.300000191,7.599999905,7.099999905,6.199999809,6.300000191,5.400000095,4.099999905,3.299999952,2.299999952,1.850000024,1.899999976,1.899999976,1.789999962,1.580000043,1.669999957,2.5,3.180000067,3.460000038,3.289999962,2.700000048,2.400000095,2.427000046,2.553999901
Cyprus,2.792999983,2.089999914,3.428999901,3.239000082,3.584000111,5.22300005,5.493999958,5.504000187,5.699999809,4.980000019,3.970000029,3.309999943,4.130000114,4.320000172,5.309999943,4.539999962,3.910000086,3.650000095,5.360000134,6.260000229,7.869999886,11.78999996,15.88000011,16.07999992,14.92000008,12.94999981,10.76799965
Czech Republic,2.269999981,3.302000046,4.320000172,4.300000191,4.019999981,3.890000105,4.269999981,5.900000095,8.489999771,8.760000229,7.989999771,7.019999981,7.539999962,8.210000038,7.929999828,7.150000095,5.320000172,4.389999866,6.659999847,7.28000021,6.710000038,6.980000019,6.949999809,6.110000134,5.050000191,3.950000048,3.062999964
Germany,5.320000172,6.320000172,7.679999828,8.729999542,8.159999847,8.819999695,9.859999657,9.789999962,8.859999657,7.920000076,7.769999981,8.479999542,9.779999733,10.72999954,11.17000008,10.25,8.659999847,7.519999981,7.739999771,6.96999979,5.820000172,5.380000114,5.230000019,4.980000019,4.619999886,4.119999886,3.736000061
Djibouti,6.921000004,6.901000023,6.852000237,6.816999912,6.785999775,6.750999928,6.729000092,6.712999821,6.68900013,6.637000084,6.600999832,6.551000118,6.489999771,6.43200016,6.387000084,6.352000237,6.322000027,6.294000149,6.25,6.203000069,6.145999908,6.072000027,5.999000072,5.928999901,5.863999844,5.836999893,5.809999943
Denmark,9.100000381,9.029999733,10.72000027,8.039999962,6.989999771,6.840000153,5.400000095,5.039999962,5.139999866,4.480000019,4.159999847,4.269999981,5.400000095,5.199999809,4.829999924,3.900000095,3.799999952,3.430000067,6.010000229,7.460000038,7.570000172,7.53000021,7,6.590000153,6.170000076,6.179999828,5.849999905
Dominican Republic,7.572999954,6.744999886,6.900000095,7.288000107,6.973999977,6.920000076,6.65500021,6.809999943,6.856999874,6.951000214,7.120999813,6.921999931,7.311999798,7.044000149,6.480000019,5.559999943,5.070000172,4.670000076,5.340000153,5.019999981,5.820000172,6.519999981,7.070000172,6.400000095,5.920000076,5.489999771,5.486000061
Algeria,20.60000038,23,23.20000076,24.39999962,27.89999962,27.98399925,25.43000031,25.82299995,25.63800049,29.77000046,27.29999924,25.89999962,23.71999931,17.64999962,15.27000046,12.27000046,13.78999996,11.32999992,10.15999985,9.960000038,9.960000038,10.97000027,9.819999695,10.60000038,11.19999981,10.19999981,10.01900005
East Asia & Pacific (excluding high income),4.394251,3.983702563,3.957926029,3.978129042,4.15974067,4.159622543,4.270267078,4.516642082,4.553443186,4.372334668,4.376486413,4.278894737,4.175980466,4.219363567,4.20918891,4.101000714,3.964417249,4.302226584,4.165216189,4.006460339,4.020546636,4.016103422,4.057392352,4.058358833,4.111137177,4.104220289,4.141476165
Early-demographic dividend,4.969401808,4.932445969,4.950767597,4.942965208,5.284127805,5.392118325,5.561286054,5.678285513,5.883977196,6.002347665,6.178211503,6.404374796,6.292179831,6.1107785,6.135326721,5.747852388,5.576151228,5.528033483,5.541687581,5.136726733,5.018592234,5.026059252,4.984753215,4.893402026,5.045627007,5.102672694,5.162863078
East Asia & Pacific,4.219758954,3.87420243,3.881937368,3.906123381,4.069160028,4.089091397,4.198324551,4.557167884,4.615382629,4.405367246,4.436430463,4.364866152,4.266473241,4.260927434,4.226092383,4.09807573,3.947479389,4.257070366,4.243013576,4.086997656,4.052258723,4.033439616,4.053827572,4.040251142,4.072019254,4.054627514,4.071628904
Europe & Central Asia (excluding high income),6.908875889,6.667866218,6.99577282,8.182735833,8.847979847,9.309609485,10.23647955,11.15640666,11.51324812,10.16499928,9.56839073,9.290750171,9.176140897,8.973928519,8.45592571,8.089728541,7.402692341,7.415167796,9.108059301,8.505056191,7.925470216,7.354899009,7.384125587,7.549766025,7.65063397,7.559269197,7.377702068
Europe & Central Asia,7.82000527,8.074218035,8.963134228,9.833488763,9.852458763,10.06841379,10.34308654,10.46706648,10.43462837,9.551589025,8.870089342,8.919710528,8.992818321,8.996339934,8.6458458,8.054916524,7.186853768,7.121435942,8.947701078,9.016257862,8.774591711,8.977729469,9.200906868,8.945633045,8.545744759,8.070948024,7.552179244
Ecuador,5.809999943,8.899999619,8.329999924,7.130000114,6.849999905,10.38000011,9.170000076,11.48999977,14.42000008,8.979999542,10.71000004,9.069999695,11.43999958,8.550000191,7.739999771,7.690000057,6.070000172,7.309999943,6.46999979,4.090000153,3.460000038,3.230000019,3.079999924,3.480000019,3.619999886,4.599999905,4.848999977
"Egypt, Arab Rep.",9.600000381,9,10.89999962,11,11.30000019,9,8.369999886,8.029999733,7.949999809,8.979999542,9.260000229,10.01000023,11.01000023,10.30000019,11.19999981,10.48999977,8.800000191,8.520000458,9.090000153,11.85000038,11.85000038,12.60000038,13.14999962,13.10000038,13.05000019,12.40999985,12.07900047
Euro area,8.648358541,9.21607504,10.75483691,11.82319923,11.4449619,11.67016781,11.66534874,11.20355098,10.44620949,9.430337595,8.351035906,8.616443163,8.960860953,9.247761331,8.955097854,8.249895942,7.37615699,7.423571889,9.471942442,10.03211668,10.10393257,11.28242545,11.91982488,11.59475324,10.82823796,10.0103337,9.1562316
Eritrea,6.699999809,6.697999954,6.761000156,6.802999973,6.875,6.885000229,6.953999996,6.992000103,7.008999825,7.032000065,7.027999878,7.081999779,7.048999786,7.001999855,6.975999832,6.938000202,6.907999992,6.843999863,6.828000069,6.78000021,6.745999813,6.68599987,6.623000145,6.585999966,6.556000233,6.452000141,6.362999916
Spain,15.93000031,17.70000076,22.15999985,24.20999908,22.67000008,22.13999939,20.70000076,18.67000008,15.47999954,13.78999996,10.35000038,11.14999962,11.27999973,11.09000015,9.149999619,8.449999809,8.229999542,11.25,17.86000061,19.86000061,21.38999939,24.79000092,26.09000015,24.44000053,22.05999947,19.62999916,17.35099983
Estonia,1.470000029,3.680000067,6.539999962,7.559999943,9.659999847,9.920000076,10.36999989,9.510000229,11.56999969,13.35999966,13.13000011,10.02999973,11.28999996,10.25,8.029999733,5.909999847,4.590000153,5.449999809,13.55000019,16.70999908,12.32999992,10.02000046,8.630000114,7.349999905,6.190000057,6.760000229,6.756000042
Ethiopia,3.08100009,3.082000017,3.117000103,3.099999905,4.203999996,5.343999863,6.431000233,7.548999786,8.710000038,8.194999695,7.631999969,7.048999786,6.485000134,5.985000134,5.380000114,5.34100008,5.30700016,5.269000053,5.231999874,5.203999996,5.179999828,5.144000053,4.980000019,4.978000164,4.972000122,5.092999935,5.203999996
European Union,8.971483749,9.604693611,10.86670366,11.40832768,10.81900577,10.7201885,10.38874655,9.908405624,9.655147597,9.28052594,8.60984204,8.944424486,9.012695675,9.178139534,8.906509023,8.157567318,7.123975732,6.953104705,8.867001227,9.507187123,9.593328368,10.41131154,10.80998835,10.20028925,9.377051782,8.528608997,7.707149422
Fragile and conflict affected situations,7.438286733,7.397105301,7.550696946,7.411303656,7.178652263,7.759766029,7.908443709,7.717177328,7.591592432,7.393077959,7.887635856,7.854558563,8.028104142,8.179454005,7.988195011,8.031927924,8.003925692,8.038075818,7.641122206,7.654030661,7.466763917,7.46913556,7.550055364,7.609513233,7.664495642,7.699921266,7.729245053
